Host,He_mean,He_SE,Hew_mean,Hew_SE,n,p_mean,p_SE,dN_mean,dN_SE,dS_mean,dS_SE,dNdS_mean,dNdS_SE,Positive_sites,D_R,TMRCA,G_Range,H_Range,Pop_size,Pop_Density,Adult_size
Bat (Molossidae),0.901,0.034,0.924,0.034,15,0.114,0.007,0.012,0.001,0.508,0.021,0.023,0.019,2,3.1/2.8,314 (261-373),13001391.28,65.0,183209.09,500500.0,22.4
Bat (Phyllostomidae),0.657,0.011,0.673,0.01,46,0.033,0.003,0.004,0.0,0.161,0.004,0.026,0.005,1,1.0/1.2,219 (181-259),17803912.83,6.5,464.92,31.5,33.16
Bat (Vespertilionidae) 1,0.822,0.031,0.837,0.025,17,0.062,0.005,0.008,0.0,0.259,0.016,0.029,0.004,1,2.9/1.0,270 (217-323),7981291.04,9.0,17680.07,55.0,15.32
Bat (Vespertilionidae) 2,0.85,0.025,0.855,0.036,32,0.1,0.006,0.014,0.0,0.406,0.007,0.034,0.001,5,2.1/0.9,218 (190-247),4859262.54,10.5,86176.36,100.0,15.44
Coyote 1,0.425,0.1,0.425,0.1,18,0.011,0.002,0.001,0.0,0.047,0.01,0.023,0.043,0,0.0/0.9,149 (113-186),17099094.3,18.88,47.0,0.25,11989.1
Coyote 2,0.425,0.1,0.425,0.1,51,0.001,0.0,0.001,0.0,0.004,0.0,0.153,0.017,0,0.9/1.1,84 (64-105),17099094.3,18.88,47.0,0.25,11989.1
Dog,0.73,0.045,0.73,0.045,230,0.134,0.008,0.009,0.0,0.668,0.002,0.013,0.001,6,3.2/2.0,550 (490-733),148940000.0,15.0,987.19,15.0,31756.51
Fox (Artic),0.672,0.026,0.683,0.032,27,0.02,0.002,0.002,0.0,0.081,0.002,0.023,0.002,2,0.0/1.1,304 (221-392),16988732.37,14.1,45.5,0.1,3584.37
Fox (Crab-eating),0.616,0.115,0.616,0.115,34,0.049,0.004,0.011,0.0,0.172,0.003,0.064,0.008,2,0.0/1.0,96 (67-128),7091683.41,1.41,6.9,3.54,5741.66
Fox (Red) 1,0.561,0.013,0.561,0.013,42,0.011,0.002,0.002,0.0,0.041,0.001,0.057,0.009,2,1.6/1.0,123 (100-146),63034304.34,3.5,32112.0,1.1,4820.36
Fox (Red) 2,0.692,0.056,0.721,0.04,20,0.05,0.004,0.006,0.0,0.199,0.01,0.031,0.007,1,2.0/1.1,84 (68-101),63034304.34,3.5,32112.0,1.1,4820.36
Hyena,0.592,0.087,0.592,0.087,12,0.063,0.014,0.006,0.001,0.254,0.022,0.022,0.008,0,0.0/1.0,263 (195-339),14790149.69,10.0,171.0,0.12,63369.98
Jackal (Black-backed),0.699,0.043,0.699,0.043,26,0.042,0.006,0.007,0.0,0.169,0.012,0.042,0.007,1,1.0/0.9,98 (79-117),6248779.95,11.93,10.0,0.74,8247.3
Jackal (Golden),0.67,0.042,0.629,0.059,13,0.054,0.007,0.006,0.001,0.24,0.031,0.026,0.006,1,1.1/1.6,111 (87-133),25739527.43,2.95,34.06,0.22,9658.7
Mongoose,0.517,0.043,0.514,0.014,24,0.054,0.007,0.005,0.0,0.266,0.015,0.019,0.008,0,0.0/1.2,98 (73-124),6880297.87,0.22,31.66,39.59,750.0
Raccoon,0.735,0.046,0.79,0.044,74,0.078,0.006,0.007,0.0,0.471,0.013,0.016,0.002,2,0.0/1.5,390 (226-563),11703644.72,4.62,2266.3,3.29,6373.62
Skunk,0.828,0.033,0.828,0.033,28,0.159,0.01,0.017,0.0,0.779,0.026,0.022,0.002,4,2.5/1.2,217 (122-321),12277338.73,2.32,276.0,8.15,2399.99
Cat,0.633,0.068,0.64,0.06,35,0.123,0.007,0.011,0.0,0.613,0.018,0.017,0.005,0,–,133 (95-171),148940000.0,1.41,20.98,3.47,2884.8
Cow,0.706,0.017,0.744,0.031,100,0.109,0.008,0.009,0.0,0.576,0.008,0.016,0.001,3,–,252 (154-361),148940000.0,10.04,327.0,75.0,618642.42
Goat,0.673,0.026,0.632,0.035,38,0.125,0.013,0.016,0.0,0.673,0.019,0.024,0.004,2,–,90 (67-114),148940000.0,98.3,831.0,7.58,47386.0
Horse,0.735,0.005,0.735,0.005,32,0.033,0.003,0.004,0.0,0.145,0.012,0.029,0.016,3,–,,,,,,
Human,0.703,0.038,0.665,0.038,114,0.173,0.01,0.014,0.0,0.971,0.006,0.014,0.001,1,–,156 (124-194),148940000.0,10.0,261414.58,13.7,58540.63
Sheep,0.714,0.016,0.711,0.02,17,0.156,0.013,0.023,0.001,0.81,0.045,0.028,0.002,1,–,,,,,,
Wolf,0.719,0.022,0.73,0.032,15,0.081,0.007,0.018,0.001,0.331,0.027,0.057,0.005,0,–,90 (71-107),50803439.7,159.86,42.2,0.01,36287.4
